Artikelnummer;Attributgruppe;Sortiernummer;Attributname;Attributwert;Datentyp;Attributart
SFP-H10GB-CU5M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
SFP-H25G-CU1M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
SFP-H25G-CU2M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
SFP-H25G-CU3M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
SFP-H25G-CU4M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
SFP-H25G-CU5M;Transceivers & SFP Modul;12;DOM Unterstützung;Nein;Wertliste;Attribut
X2-10GB-ER;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
X2-10GB-LR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
X2-10GB-LRM;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
X2-10GB-SR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
X2-10GB-ZR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
XENPAK-10GB-LRM;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
XENPAK-10GB-LX4;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
XENPAK-10GB-SR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
XENPAK-10GB-ZR;Transceivers & SFP Modul;12;DOM Unterstützung;Ja;Wertliste;Attribut
