Artikelnummer;Netto-VK
JNP-SFP-25G-LR-I-DW4772;1.440,00
JNP-SFP-25G-LR-I-DW5012;1.440,00
JNP-SFP-25G-LR-I-DW5413;1.440,00
JNP-SFP-25G-LR-I-DW5494;1.440,00
JNP-SFP-25G-LR-I-DW5575;1.440,00
JNP-SFP-25G-LR40-BXD-I;585,00
JNP-SFP-25G-LR40-BXU-I;585,00
JNP-SFP-25G-SR;234,00
JNP-SFPP-10GE-T;315,00
QDD-2X100G-CWDM4;3.420,00
QDD-2X100G-LR4;3.420,00
QFX-QSFP-40G-ER4;2.700,00
QFX-QSFP-40G-ESR4;315,00
QFX-QSFP-40G-LR4;1.260,00
QFX-QSFP-40G-SR4;315,00
QSFP-4X10GE-LR-25;315,00
SFPP-10GE-BX10D-IT;405,00
SFPP-10GE-BX10U-IT;405,00
SFPP-10GE-BX40D-IT;630,00
SFPP-10GE-BX40U-IT;630,00
SFPP-10GE-ZR;1.350,00
XFP-10G-CWDM1471;351,00
