Artikelnummer;Überverkauf Plattform Hexwaren
DWDM-XENPAK-51.72;TRUE
DWDM-XENPAK-52.52;TRUE
DWDM-XENPAK-54.13;TRUE
DWDM-XENPAK-54.94;TRUE
DWDM-XENPAK-55.75;TRUE
DWDM-XENPAK-56.55;TRUE
DWDM-XENPAK-58.17;TRUE
DWDM-XENPAK-58.98;TRUE
DWDM-XENPAK-59.79;TRUE
DWDM-XENPAK-60.61;TRUE
XENPAK-10GB-LR+;TRUE
XENPAK-10GB-ER+;TRUE
XENPAK-10GB-LW;TRUE
WDM-XENPAK-REC;TRUE
DWDM-SFP10G-30.33;TRUE
DWDM-SFP10G-31.12;TRUE
DWDM-SFP10G-61.41;TRUE
DWDM-SFP10G-C-I;TRUE
DWDM-SFP10G-E-I;TRUE
DS-SFP-FCGE-SW;TRUE
DS-SFP-FCGE-LW;TRUE
DS-SFP-GE-T;TRUE
ONS-SI-GE-EX;TRUE
ONS-SI-GE-LX;TRUE
ONS-SI-GE-SX;TRUE
ONS-SI-GE-ZX;TRUE
ONS-CXP2-SR25;TRUE
ONS-SC+-10G-SR;TRUE
ONS-SC+-10G-LR;TRUE
ONS-SC+-10G-ER;TRUE
ONS-SC+-10G-ZR;TRUE
ONS-SC+-10G-C;TRUE
ONS-SI+-10G-SR;TRUE
ONS-SI+-10G-LR;TRUE
ONS-SI+-10G-ER;TRUE
ONS-SI+-10G-ZR;TRUE
GLC-LH-LMM-TI;TRUE
GLC-ZX-LMM-TI;TRUE
GLC-T++;TRUE
GLC-TE++;TRUE
S1G-LH-PM-D-I;TRUE
S1G-SX-PM-D-I;TRUE
S1G-TE-PM-D-I;TRUE
S10G-ER-PM-D-I;TRUE
S10G-LR-PM-D-I;TRUE
S10G-SR-PM-D-I;TRUE
FET-10G;TRUE
DP01QSDD-LK9;TRUE
DP04QSDD-HE0-A1;TRUE
DP04QSDD-HK9;TRUE
DP04QSDD-ULH-A1;TRUE
QDD-2Q200-CU2.5M;TRUE
QDD-400-CU0.5M;TRUE
QDD-4ZQ100-CU2.5M;TRUE
CIM8-LE-K9;TRUE
QSFP-100G-ER4;TRUE
QSFP-100G-AOC;TRUE
MGBSX1;TRUE
MGBLX1;TRUE
MGBLH1;TRUE
MGBT1;TRUE
