Artikelnummer;Netto-VK
SFP-50G-CU4M;0,00
SFP-50G-CU5M;0,00
SFP-50G-SL;0,00
SFP-50G-SR-S;0,00
SFP-50G-LR-S;0,00
SFP-50G-BXD-I;0,00
SFP-50G-BXU-I;0,00
SFP-50G-BX40D-I;0,00
SFP-50G-BX40U-I;0,00
SFP-50G-ER-I;0,00
QDD-2Q200-CU3M;0,00
QDD-400G-VR4;0,00
QDD-400G-SR8-S;0,00
QDD-400G-SR4.2-BD;0,00
QDD-400G-BD;0,00
QDD-400G-DR4-S;0,00
QDD-4X100G-FR-S;0,00
QDD-4X100G-LR-S;0,00
QDD-400G-FR4-S;0,00
QDD-400G-LR4-S;0,00
QDD-400G-LR8-S;0,00
QDD-2X100-SR4-S;0,00
QDD-2X100-CWDM4-S;0,00
QDD-2X100-LR4-S;0,00
CPAK-100G-LR4;0,00
CPAK-100G-LR4-2K;0,00
CPAK-100GE-LR4;0,00
CPAK-100G-ER4L;0,00
CPAK-100G-ER4F;0,00
CPAK-10X10G-LR;0,00
CPAK-100G-SR10;0,00
CPAK-10X10G-ERL;0,00
CPAK-100G-SR4;0,00
CPAK-100G-CWDM4;0,00
CPAK-100G-PSM4;0,00
CPAK-100G-FR;0,00
GLC-FE-100FX;0,00
GLC-FE-100FX-RGD;0,00
GLC-GE-100FX;0,00
GLC-FE-100LX;0,00
GLC-FE-100LX-RGD;0,00
GLC-FE-100BX-U;0,00
GLC-FE-100BX-D;0,00
GLC-FE-100EX;0,00
GLC-FE-100ZX;0,00
GLC-FE-T-I;0,00
XFP-10G-MM-SR;0,00
XFP-10GLR-OC192SR;0,00
XFP10GLR-192SR-L;0,00
XFP10GLR192SR-RGD;0,00
XFP10GER-192IR-L;0,00
XFP10GER192IR-RGD;0,00
XFP-10GZR-OC192LR;0,00
XFP10GZR192LR-RGD;0,00
X2-10GB-LR;0,00
X2-10GB-CX4;0,00
X2-10GB-SR;0,00
X2-10GB-LRM;0,00
X2-10GB-LX4;0,00
X2-10GB-ER;0,00
X2-10GB-ZR;0,00
X2-10GB-T;0,00
OSFP-800G-VR8;0,00
OSFP-800G-VR8P;0,00
OSFP-800G-DR8;0,00
OSFP-800G-DR8P;0,00
OSFP-2X400G-FR4;0,00
QSFP-2Q200-CU3M;0,00
QSFP-200G-SR4-S;0,00
QSFP-200G-SL4;0,00
QSFP-200G-FR4-S;0,00
SFP-GPON-B;0,00
SFP-GPON-B-I;0,00
SFP-GPON-C;0,00
SFP-GPON-C-I;0,00
CFP-40G-SR4;0,00
